   5.3647896e+00   6.7126420e-01
   5.6712674e+00  -9.8397905e-01
   5.4762772e+00  -2.3005612e+00
   5.4533523e+00   2.8197867e+00
   7.2665310e+00   1.7577623e+00
   7.8652609e+00  -5.4825338e-01
   7.2634258e+00  -1.9018417e+00
   9.5004569e+00  -1.8431085e+00
   8.9889484e+00   7.2538381e-01
   3.5590813e+00  -1.1356524e+00
   7.6559652e-01  -1.9157758e+00
  -1.2674649e+00  -1.4736030e+00
  -1.2095376e+00   9.5077535e-01
   5.4857082e-01   8.1355476e-02
  -2.0345764e-01   2.5533061e+00
   2.8177184e+00   2.7351350e+00
   3.3850997e+00   1.3622536e+00
